Vaccine,Brandname/ Tradename,NDC,Packaging,CDC Cost/ Dose,Private Sector Cost/ Dose,Contract End Date,Manufacturer,Contract Number,Date
Influenza [5],Fluarix®,58160-0880-52,10 pack – 1 dose syringe,$8.08 ,$10.98 ,2/21/2014,GlaxoSmithKline,200-2013-54008,11/18/2013
Influenza [5],Fluarix® Quadrivalent,58160-0900-52,10 pack – 1 dose syringe,12.03,15.9,2/21/2014,GlaxoSmithKline,200-2013-54008,11/18/2013
Influenza [5],Afluria®,33332-0013-01,10 pack-1 dose,$8.13 ,$11.00 ,2/21/2014,Merck,200-2013-54010,11/18/2013
"Influenza [5, 6]",Afluria®,33332-0113-10,10 dose vials-1 pack,$7.82 ,$10.25 ,2/21/2014,Merck,200-2013-54010,11/18/2013
"Influenza [5, 6]",Fluzone,49281-0392-15,10 dose vial,$8.15 ,$10.69 ,2/21/2014,Sanofi Pasteur,200-2013-54009,1/31/2014
Influenza [5],Fluzone,49281-0707-55,10 pack – 1 dose syringe,$12.64 ,$16.72 ,2/21/2014,Sanofi Pasteur,200-2013-54009,1/31/2014
Influenza [5],Fluzone,49281-0013-50,10 pack – 1 dose syringe,$9.49 ,$12.49 ,2/21/2014,Sanofi Pasteur,200-2013-54009,1/31/2014
Influenza [5],Flucelvax,63851-0612-01,10 pack – 1 dose syringe,$9.50 ,$18.25 ,2/21/2014,Novartis,200-2013-54011,1/31/2014
"Influenza [5, 6]",Fluvirin,66521-0116-10,10 dose vial,$6.75 ,$13.25 ,2/21/2014,Novartis,200-2013-54011,1/31/2014
Influenza [5],Fluvirin,66521-0116-02,10 pack -1 dose syringe,$7.75 ,$14.35 ,2/21/2014,Novartis,200-2013-54011,1/31/2014
"Influenza [5, 6]",FluLaval,19515-0890-07,10 dose vial,$5.89 ,$9.50 ,2/21/2014,GlaxoSmithKline,200-2013-54008,1/31/2014
Influenza [5],Fluarix,58160-0880-52,10 pack – 1 dose syringe,$8.08 ,$10.98 ,2/21/2014,GlaxoSmithKline,200-2013-54008,1/31/2014
Influenza [5],Afluria,33332-0013-01,10 pack-1 dose,$8.13 ,$11.00 ,2/21/2014,Merck,200-2013-54010,1/31/2014
"Influenza [5, 6]",Afluria,33332-0113-10,10 dose vials-1 pack,$7.82 ,$10.25 ,2/21/2014,Merck,200-2013-54010,1/31/2014
"Influenza [5, 6]",Fluzone®,49281-0394-15,10 dose vial,$7.75 ,$10.69 ,2/28/2015,Sanofi Pasteur,200-2014-57652,4/1/2014
"Influenza [5, 6]",Fluzone®,49281-0621-15,10 dose vial,$12.22 ,$16.15 ,2/28/2015,Sanofi Pasteur,200-2014-57652,4/1/2014
Influenza [5],Fluzone®,49281-0014-50,10 pack – 1 dose syringe,$8.75 ,$12.49 ,2/28/2015,Sanofi Pasteur,200-2014-57652,4/1/2014
"Influenza [5, 6]",Fluzone®,49281-0414-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2015,Sanofi Pasteur,200-2014-57652,4/1/2014
Influenza [5],Flucelvax®,63851-0113-01,10 pack – 1 dose syringe,$9.76 ,$19.13 ,2/28/2015,Novartis,200-2014-57655,4/1/2014
"Influenza [5, 6]",Fluvirin®,66521-0117-10,10 dose vial,$6.93 ,$13.63 ,2/28/2015,Novartis,200-2014-57655,4/1/2014
Influenza [5],Fluvirin®,66521-0117-02,10 pack -1 dose syringe,$7.96 ,$14.81 ,2/28/2015,Novartis,200-2014-57655,4/1/2014
Influenza [5],Fluarix®,58160-0901-52,10 pack- 1 dose,$12.03 ,$15.90 ,2/28/2015,GlaxoSmithKline,200-2014-57654,4/1/2014
"Influenza [5, 6]",FluLaval Quadrivalent,19515-0891-11,10 dose vial,$11.28 ,$14.90 ,2/28/2015,GlaxoSmithKline,200-2014-57654,4/1/2014
Influenza [5],Afluria®,33332-0014-01,10 pack-1 dose,$7.29 ,$11.30 ,2/28/2015,CSL,200-2014-57653,4/1/2014
"Influenza [5, 6]",Afluria®,33332-0114-10,10 dose vials-1 pack,$6.53 ,$10.55 ,2/28/2015,CSL,200-2014-57653,4/1/2014
"Influenza [5, 6]",Fluzone®,49281-0394-15,10 dose vial,$7.75 ,$10.69 ,2/28/2015,Sanofi Pasteur,200-2014-57652,7/1/2014
"Influenza [5, 6]",Fluzone®,49281-0621-15,10 dose vial,$12.22 ,$16.15 ,2/28/2015,Sanofi Pasteur,200-2014-57652,7/1/2014
Influenza [5],Fluzone®,49281-0014-50,10 pack – 1 dose syringe,$8.75 ,$12.49 ,2/28/2015,Sanofi Pasteur,200-2014-57652,7/1/2014
"Influenza [5, 6]",Fluzone®,49281-0414-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2015,Sanofi Pasteur,200-2014-57652,7/1/2014
Influenza [5],Flucelvax®,62577-0613-01,10 pack – 1 dose syringe,$9.76 ,$19.13 ,2/28/2015,Novartis,200-2014-57655,7/1/2014
"Influenza [5, 6]",Fluvirin®,66521-0117-10,10 dose vial,$6.93 ,$13.63 ,2/28/2015,Novartis,200-2014-57655,7/1/2014
Influenza [5],Fluvirin®,66521-0117-02,10 pack -1 dose syringe,$7.96 ,$14.81 ,2/28/2015,Novartis,200-2014-57655,7/1/2014
Influenza [5],Fluarix®,58160-0901-52,10 pack- 1 dose,$12.03 ,$15.90 ,2/28/2015,GlaxoSmithKline,200-2014-57654,7/1/2014
"Influenza [5, 6]",FluLaval Quadrivalent,19515-0891-11,10 dose vial,$11.28 ,$14.90 ,2/28/2015,GlaxoSmithKline,200-2014-57654,7/1/2014
Influenza [5],Afluria®,33332-0014-01,10 pack-1 dose,$7.29 ,$11.30 ,2/28/2015,CSL,200-2014-57653,7/1/2014
"Influenza [5, 6]",Afluria®,33332-0114-10,10 dose vials-1 pack,$6.53 ,$10.55 ,2/28/2015,CSL,200-2014-57653,7/1/2014
"Influenza [5, 6]",Fluzone,49281-0394-15,10 dose vial,$7.75 ,$10.69 ,2/28/2015,Sanofi Pasteur,200-2014-57652,1/5/2015
"Influenza [5, 6]",Fluzone,49281-0621-15,10 dose vial,$12.22 ,$16.15 ,2/28/2015,Sanofi Pasteur,200-2014-57652,1/5/2015
Influenza [5],Fluzone,49281-0014-50,10 pack – 1 dose syringe,$8.75 ,$12.49 ,2/28/2015,Sanofi Pasteur,200-2014-57652,1/5/2015
"Influenza [5, 6]",Fluzone,49281-0414-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2015,Sanofi Pasteur,200-2014-57652,1/5/2015
Influenza [5],Flucelvax,62577-0613-01,10 pack – 1 dose syringe,$9.76 ,$19.13 ,2/28/2015,Novartis,200-2014-57655,1/5/2015
"Influenza [5, 6]",Fluvirin,66521-0117-10,10 dose vial,$6.93 ,$13.63 ,2/28/2015,Novartis,200-2014-57655,1/5/2015
Influenza [5],Fluvirin,66521-0117-02,10 pack -1 dose syringe,$7.96 ,$14.81 ,2/28/2015,Novartis,200-2014-57655,1/5/2015
Influenza [5],Fluarix,58160-0901-52,10 pack- 1 dose,$12.03 ,$15.90 ,2/28/2015,GlaxoSmithKline,200-2014-57654,1/5/2015
"Influenza [5, 6]",FluLaval,19515-0891-11,10 dose vial,$11.28 ,$14.90 ,2/28/2015,GlaxoSmithKline,200-2014-57654,1/5/2015
Influenza [5],Afluria,33332-0014-01,10 pack-1 dose,$7.29 ,$11.30 ,2/28/2015,CSL,200-2014-57653,1/5/2015
"Influenza [5, 6]",Afluria,33332-0114-10,10 dose vials-1 pack,$6.53 ,$10.55 ,2/28/2015,CSL,200-2014-57653,1/5/2015
Influenza [5],Fluzone®,49281-0396-15,10 dose vial,$7.75 ,$10.69 ,2/28/2016,Sanofi Pasteur,200-2015-61391,4/1/2015
Influenza [5],Fluzone®,49281-0623-15,10 dose vial,$12.22 ,$16.15 ,2/28/2016,Sanofi Pasteur,200-2015-61391,4/1/2015
Influenza [5],Fluzone®,49281-0415-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2016,Sanofi Pasteur,200-2015-61391,4/1/2015
Influenza [5],Flucelvax®,62577-0614-01,10 pack – 1 dose syringe,$7.96 ,$19.68 ,2/28/2016,Novartis,200-2015-61394,4/1/2015
Influenza [5],Fluvirin®,66521-0118-10,10 dose vial,$6.93 ,$14.01 ,2/28/2016,Novartis,200-2015-61394,4/1/2015
Influenza [5],Fluvirin®,66521-0118-02,10 pack -1 dose syringe,$7.96 ,$15.23 ,2/28/2016,Novartis,200-2015-61394,4/1/2015
Influenza [5],Fluarix®,58160-0903-52,10 pack- 1 dose,$12.15 ,$16.05 ,2/28/2016,GlaxoSmithKline,200-2015-61393,4/1/2015
Influenza [5],FluLaval Quadrivalent,19515-0898-11,10 dose vial,$11.40 ,$15.05 ,2/28/2016,GlaxoSmithKline,200-2015-61393,4/1/2015
Influenza [5],Afluria®,33332-0015-01,10 pack-1 dose,$7.41 ,$12.30 ,2/28/2016,CSL,200-2015-61392,4/1/2015
Influenza [5],Afluria®,33332-0115-10,10 dose vials-1 pack,$6.64 ,$11.55 ,2/28/2016,CSL,200-2015-61392,4/1/2015
Influenza [5],Flublok® No Preservative,TBA,10 pack – 1 dose vial,$25.07 ,$32.75 ,2/28/2016,Protein Sciences,200-2015-61395,4/1/2015
Influenza [5],Fluzone®,49281-0396-15,10 dose vial,$7.75 ,$10.69 ,2/28/2016,Sanofi Pasteur,200-2015-61391,7/1/2015
Influenza [5],Fluzone®,49281-0623-15,10 dose vial,$12.22 ,$16.15 ,2/28/2016,Sanofi Pasteur,200-2015-61391,7/1/2015
Influenza [5],Fluzone®,49281-0415-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2016,Sanofi Pasteur,200-2015-61391,7/1/2015
Influenza [5],Flucelvax®,62577-0614-01,10 pack – 1 dose syringe,$7.96 ,$19.68 ,2/28/2016,Novartis,200-2015-61394,7/1/2015
Influenza [5],Fluvirin®,66521-0118-10,10 dose vial,$6.93 ,$14.01 ,2/28/2016,Novartis,200-2015-61394,7/1/2015
Influenza [5],Fluvirin®,66521-0118-02,10 pack -1 dose syringe,$7.96 ,$15.23 ,2/28/2016,Novartis,200-2015-61394,7/1/2015
Influenza [5],Fluarix®,58160-0903-52,10 pack- 1 dose,$12.15 ,$16.05 ,2/28/2016,GlaxoSmithKline,200-2015-61393,7/1/2015
Influenza [5],FluLaval Quadrivalent,19515-0898-11,10 dose vial,$11.40 ,$15.05 ,2/28/2016,GlaxoSmithKline,200-2015-61393,7/1/2015
Influenza [5],Afluria®,33332-0015-01,10 pack-1 dose,$7.41 ,$12.30 ,2/28/2016,CSL,200-2015-61392,7/1/2015
Influenza [5],Afluria®,33332-0115-10,10 dose vials-1 pack,$6.64 ,$11.55 ,2/28/2016,CSL,200-2015-61392,7/1/2015
Influenza [5],Flublok® No Preservative,42874-0015-10,10 pack – 1 dose vial,$25.07 ,$32.75 ,2/28/2016,Protein Sciences,200-2015-61395,7/1/2015
Influenza [5],Fluzone®,49281-0396-15,10 dose vial,$7.75 ,$10.69 ,2/28/2016,Sanofi Pasteur,200-2015-61391,11/5/2015
Influenza [5],Fluzone®,49281-0623-15,10 dose vial,$12.22 ,$16.15 ,2/28/2016,Sanofi Pasteur,200-2015-61391,11/5/2015
Influenza [5],Fluzone®,49281-0415-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2016,Sanofi Pasteur,200-2015-61391,11/5/2015
Influenza [5],Flucelvax®,62577-0614-01,10 pack – 1 dose syringe,$7.96 ,$19.68 ,2/28/2016,Novartis,200-2015-61394,11/5/2015
Influenza [5],Fluvirin®,66521-0118-10,10 dose vial,$6.93 ,$14.01 ,2/28/2016,Novartis,200-2015-61394,11/5/2015
Influenza [5],Fluvirin®,66521-0118-02,10 pack -1 dose syringe,$7.96 ,$15.23 ,2/28/2016,Novartis,200-2015-61394,11/5/2015
Influenza [5],Fluarix®,58160-0903-52,10 pack- 1 dose,$12.15 ,$16.05 ,2/28/2016,GlaxoSmithKline,200-2015-61393,11/5/2015
Influenza [5],FluLaval Quadrivalent,19515-0898-11,10 dose vial,$11.40 ,$15.05 ,2/28/2016,GlaxoSmithKline,200-2015-61393,11/5/2015
Influenza [5],Afluria®,33332-0015-01,10 pack-1 dose,$7.41 ,$12.30 ,2/28/2016,bioCSL,200-2015-61392,11/5/2015
Influenza [5],Afluria®,33332-0115-10,10 dose vials-1 pack,$6.64 ,$11.55 ,2/28/2016,bioCSL,200-2015-61392,11/5/2015
Influenza [5],Flublok® No Preservative,42874-0015-10,10 pack – 1 dose vial,$25.07 ,$32.75 ,2/28/2016,Protein Sciences,200-2015-61395,11/5/2015
Influenza [5],Fluzone,49281-0396-15,10 dose vial,$7.75 ,$10.69 ,2/28/2016,Sanofi Pasteur,200-2015-61391,1/1/2016
Influenza [5],Fluzone,49281-0623-15,10 dose vial,$12.22 ,$16.15 ,2/28/2016,Sanofi Pasteur,200-2015-61391,1/1/2016
Influenza [5],Fluzone,49281-0415-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2016,Sanofi Pasteur,200-2015-61391,1/1/2016
Influenza [5],Flucelvax,62577-0614-01,10 pack – 1 dose syringe,$7.96 ,$19.68 ,2/28/2016,Novartis,200-2015-61394,1/1/2016
Influenza [5],Fluvirin,66521-0118-10,10 dose vial,$6.93 ,$14.01 ,2/28/2016,Novartis,200-2015-61394,1/1/2016
Influenza [5],Fluvirin,66521-0118-02,10 pack -1 dose syringe,$7.96 ,$15.23 ,2/28/2016,Novartis,200-2015-61394,1/1/2016
Influenza [5],Fluarix,58160-0903-52,10 pack- 1 dose,$12.15 ,$16.05 ,2/28/2016,GlaxoSmithKline,200-2015-61393,1/1/2016
Influenza [5],FluLaval ,19515-0898-11,10 dose vial,$11.40 ,$15.05 ,2/28/2016,GlaxoSmithKline,200-2015-61393,1/1/2016
Influenza [5],Afluria,33332-0015-01,10 pack-1 dose,$7.41 ,$12.30 ,2/28/2016,bioCSL,200-2015-61392,1/1/2016
Influenza [5],Afluria,33332-0115-10,10 dose vials-1 pack,$6.64 ,$11.55 ,2/28/2016,bioCSL,200-2015-61392,1/1/2016
Influenza [5],Flublok No Preservative,42874-0015-10,10 pack – 1 dose vial,$25.07 ,$32.75 ,2/28/2016,Protein Sciences,200-2015-61395,1/1/2016
Influenza [5],Fluzone®,49281-0625-15,10 dose vial,$12.56 ,$16.62 ,2/28/2017,Sanofi Pasteur,200-2016-88482,4/4/2016
Influenza [5],Fluzone®,49281-0416-10,10 pack – 1 dose vial,$13.96 ,$18.49 ,2/28/2017,Sanofi Pasteur,200-2016-88482,4/4/2016
Influenza [5],Fluvirin®,70461-0119-10,10 dose vial,$7.24 ,$14.41 ,2/28/2017,Novartis,200-2016-88480,4/4/2016
Influenza [5],Fluarix®,58160-0905-52,10 pack- 1 dose syringe,$12.72 ,$16.82 ,2/28/2017,GlaxoSmithKline,200-2016-88479,4/4/2016
Influenza [5],FluLaval Quadrivalent,19515-0903-11,10 dose vial,$11.76 ,$15.77 ,2/28/2017,GlaxoSmithKline,200-2016-88479,4/4/2016
Influenza [5],Afluria®,33332-0016-01,10 pack-1 dose,$7.99 ,$15.67 ,2/28/2017,bioCSL,200-2016-88478,4/4/2016
Influenza [5],Afluria®,33332-0116-10,10 dose vial,$7.24 ,$14.41 ,2/28/2017,bioCSL,200-2016-88478,4/4/2016
Influenza [5],Flublok® No Preservative,42874-0016-10,10 pack – 1 dose vial,$25.07 ,$35.75 ,2/28/2017,Protein Sciences,200-2016-88481,4/4/2016
Influenza [5],Fluzone®,49281-0625-15,10 dose vial,$12.56 ,$16.62 ,2/28/2017,Sanofi Pasteur,200-2016-88482,8/1/2016
Influenza [5],Fluzone®,49281-0416-10,10 pack – 1 dose vial,$13.96 ,$18.49 ,2/28/2017,Sanofi Pasteur,200-2016-88482,8/1/2016
Influenza [5],Fluvirin®,70461-0119-10,10 dose vial,$7.24 ,$14.41 ,2/28/2017,Novartis,200-2016-88480,8/1/2016
Influenza [5],Fluarix®,58160-0905-52,10 pack- 1 dose syringe,$12.72 ,$16.82 ,2/28/2017,GlaxoSmithKline,200-2016-88479,8/1/2016
Influenza [5],FluLaval Quadrivalent,19515-0903-11,10 dose vial,$11.76 ,$15.77 ,2/28/2017,GlaxoSmithKline,200-2016-88479,8/1/2016
Influenza [5],Afluria®,33332-0016-01,10 pack-1 dose,$7.99 ,$15.67 ,2/28/2017,bioCSL,200-2016-88478,8/1/2016
Influenza [5],Afluria®,33332-0116-10,10 dose vial,$7.24 ,$14.41 ,2/28/2017,bioCSL,200-2016-88478,8/1/2016
Influenza [5],Flublok® No Preservative,42874-0016-10,10 pack – 1 dose vial,$25.07 ,$35.75 ,2/28/2017,Protein Sciences,200-2016-88481,8/1/2016
Influenza [5],Fluzone®,49281-0625-15,10 dose vial,$12.56 ,$16.62 ,2/28/2017,Sanofi Pasteur,200-2016-88482,10/20/2016
Influenza [5],Fluzone®,49281-0416-10,10 pack – 1 dose vial,$13.96 ,$18.49 ,2/28/2017,Sanofi Pasteur,200-2016-88482,10/20/2016
Influenza [5],Fluvirin®,70461-0119-10,10 dose vial,$7.24 ,$14.41 ,2/28/2017,Novartis,200-2016-88480,10/20/2016
Influenza [5],Fluarix®,58160-0905-52,10 pack- 1 dose syringe,$12.72 ,$16.82 ,2/28/2017,GlaxoSmithKline,200-2016-88479,10/20/2016
Influenza [5],FluLaval Quadrivalent,19515-0903-11,10 dose vial,$11.76 ,$15.77 ,2/28/2017,GlaxoSmithKline,200-2016-88479,10/20/2016
Influenza [5],Afluria®,33332-0016-01,10 pack-1 dose,$7.99 ,$15.67 ,2/28/2017,bioCSL,200-2016-88478,10/20/2016
Influenza [5],Afluria®,33332-0116-10,10 dose vial,$7.24 ,$14.41 ,2/28/2017,bioCSL,200-2016-88478,10/20/2016
Influenza [5],Flublok® No Preservative,42874-0016-10,10 pack – 1 dose vial,$25.07 ,$35.75 ,2/28/2017,Protein Sciences,200-2016-88481,10/20/2016
Influenza [5],Fluzone,49281-0625-15,10 dose vial,$12.56 ,$16.62 ,2/28/2017,Sanofi Pasteur,200-2016-88482,1/3/2017
Influenza [5],Fluzone,49281-0416-10,10 pack – 1 dose vial,$13.96 ,$18.49 ,2/28/2017,Sanofi Pasteur,200-2016-88482,1/3/2017
Influenza [5],Fluvirin,70461-0119-10,10 dose vial,$7.24 ,$14.41 ,2/28/2017,Novartis,200-2016-88480,1/3/2017
Influenza [5],Fluarix,58160-0905-52,10 pack- 1 dose syringe,$12.72 ,$16.82 ,2/28/2017,GlaxoSmithKline,200-2016-88479,1/3/2017
Influenza [5],FluLaval ,19515-0903-11,10 dose vial,$11.76 ,$15.77 ,2/28/2017,GlaxoSmithKline,200-2016-88479,1/3/2017
Influenza [5],Afluria,33332-0016-01,10 pack-1 dose,$7.99 ,$15.67 ,2/28/2017,"Seqirus USA, Inc",200-2016-88478,1/3/2017
Influenza [5],Afluria,33332-0116-10,10 dose vial,$7.24 ,$14.41 ,2/28/2017,"Seqirus USA, Inc",200-2016-88478,1/3/2017
Influenza [5],Flublok ,42874-0016-10,10 pack – 1 dose vial,$25.07 ,$35.75 ,2/28/2017,Protein Sciences,200-2016-88481,1/3/2017
Influenza [5],Fluzone®,49281-0627-15,10 dose vial,$12.57 ,$16.62 ,2/28/2018,Sanofi Pasteur,200-2017-92733,4/3/2017
Influenza [5],Fluzone®,49281-0417-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2018,Sanofi Pasteur,200-2017-92733,4/3/2017
Influenza [5],Fluarix®,58160-0907-52,10 pack- 1 dose syringe,$12.72 ,$16.82 ,2/28/2018,GlaxoSmithKline,200-2017-92732,4/3/2017
Influenza [5],FluLaval,19515-0896-11,10 dose vial,$11.94 ,$15.77 ,2/28/2018,GlaxoSmithKline,200-2017-92732,4/3/2017
Influenza [5],Afluria®,33332-0017-01,10 pack-1 dose,$9.99 ,$17.01 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,4/3/2017
Influenza [5],Fluvirin®,70461-0120-10,10 dose vial,$9.50 ,$15.64 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,4/3/2017
Influenza [5],Flucelvax Quadrivalent,70461-0201-01,10 pack – 1 dose syringe,$13.80 ,$21.22 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,4/3/2017
Influenza [5],Afluria®,33332-0317-01,10 pack – 1 dose syringe,$12.68 ,$17.61 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,4/3/2017
Influenza [5],Fluzone®,49281-0627-15,10 dose vial,$12.57 ,$16.62 ,2/28/2018,Sanofi Pasteur,200-2017-92733,7/3/2017
Influenza [5],Fluzone®,49281-0417-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2018,Sanofi Pasteur,200-2017-92733,7/3/2017
Influenza [5],Fluarix®,58160-0907-52,10 pack- 1 dose syringe,$12.72 ,$16.82 ,2/28/2018,GlaxoSmithKline,200-2017-92732,7/3/2017
Influenza [5],FluLaval,19515-0896-11,10 dose vial,$11.94 ,$15.77 ,2/28/2018,GlaxoSmithKline,200-2017-92732,7/3/2017
Influenza [5],Afluria®,33332-0017-01,10 pack-1 dose,$9.99 ,$17.01 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,7/3/2017
Influenza [5],Fluvirin®,70461-0120-10,10 dose vial,$9.50 ,$15.64 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,7/3/2017
Influenza [5],Flucelvax Quadrivalent,70461-0201-01,10 pack – 1 dose syringe,$13.80 ,$21.22 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,7/3/2017
Influenza [5],Afluria®,33332-0317-01,10 pack – 1 dose syringe,$12.68 ,$17.61 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,7/3/2017
Influenza [5],Fluzone®,49281-0627-15,10 dose vial,$12.57 ,$16.62 ,2/28/2018,Sanofi Pasteur,200-2017-92733,9/1/2017
Influenza [5],Fluzone®,49281-0417-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2018,Sanofi Pasteur,200-2017-92733,9/1/2017
Influenza [5],Fluarix®,58160-0907-52,10 pack- 1 dose syringe,$12.72 ,$16.82 ,2/28/2018,GlaxoSmithKline,200-2017-92732,9/1/2017
Influenza [5],FluLaval,19515-0896-11,10 dose vial,$11.94 ,$15.77 ,2/28/2018,GlaxoSmithKline,200-2017-92732,9/1/2017
Influenza [5],Afluria®,33332-0017-01,10 pack-1 dose,$9.99 ,$17.01 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,9/1/2017
Influenza [5],Fluvirin®,70461-0120-10,10 dose vial,$9.50 ,$15.64 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,9/1/2017
Influenza [5],Flucelvax Quadrivalent,70461-0201-01,10 pack – 1 dose syringe,$13.80 ,$21.22 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,9/1/2017
Influenza [5],Afluria®,33332-0317-01,10 pack – 1 dose syringe,$12.68 ,$17.61 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,9/1/2017
Influenza [5],Fluzone,49281-0627-15,10 dose vial,$12.57 ,$16.62 ,2/28/2018,Sanofi Pasteur,200-2017-92733,1/1/2018
Influenza [5],Fluzone,49281-0417-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2018,Sanofi Pasteur,200-2017-92733,1/1/2018
Influenza [5],Fluarix,58160-0907-52,10 pack- 1 dose syringe,$12.72 ,$16.82 ,2/28/2018,GlaxoSmithKline,200-2017-92732,1/1/2018
Influenza [5],FluLaval,19515-0896-11,10 dose vial,$11.94 ,$15.77 ,2/28/2018,GlaxoSmithKline,200-2017-92732,1/1/2018
Influenza [5],Afluria,33332-0017-01,10 pack-1 dose,$9.99 ,$17.01 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,1/1/2018
Influenza [5],Fluvirin,70461-0120-10,10 dose vial,$9.50 ,$15.64 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,1/1/2018
Influenza [5],Flucelvax ,70461-0201-01,10 pack – 1 dose syringe,$13.80 ,$21.22 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,1/1/2018
Influenza [5],Afluria,33332-0317-01,10 pack – 1 dose syringe,$12.68 ,$17.61 ,2/28/2018,"Seqirus USA, Inc",200-2017-92734,1/1/2018
Influenza [5],Fluzone®,49281-0629-15,10 dose vial,$12.57 ,$16.62 ,2/28/2019,Sanofi Pasteur,200-2018-00010,4/1/2018
Influenza [5],Fluzone®,49281-0418-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2019,Sanofi Pasteur,200-2018-00010,4/1/2018
Influenza [5],Fluarix®,58160-0898-52,10 pack- 1 dose syringe,$12.22 ,$15.77 ,2/28/2019,GlaxoSmithKline,200-2018-00009,4/1/2018
Influenza [5],FluLaval,19515-0909-52,10 pack- 1 dose syringe,$12.22 ,$16.82 ,2/28/2019,GlaxoSmithKline,200-2018-00009,4/1/2018
Influenza [5],Flucelvax Quadrivalent,70461-0318-03,10 pack – 1 dose syringe,$12.13 ,$21.22 ,2/28/2019,"Seqirus USA, Inc",200-2018-00011,4/1/2018
Influenza [5],Afluria®,33332-0318-01,10 pack – 1 dose syringe,$12.13 ,$17.97 ,2/28/2019,"Seqirus USA, Inc",200-2018-00011,4/1/2018
Influenza [5],Fluzone®,49281-0629-15,10 dose vial,$12.57 ,$16.62 ,2/28/2019,Sanofi Pasteur,200-2018-00010,7/2/2018
Influenza [5],Fluzone®,49281-0418-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2019,Sanofi Pasteur,200-2018-00010,7/2/2018
Influenza [5],Fluarix®,58160-0898-52,10 pack- 1 dose syringe,$12.22 ,$15.77 ,2/28/2019,GlaxoSmithKline,200-2018-00009,7/2/2018
Influenza [5],FluLaval,19515-0909-52,10 pack- 1 dose syringe,$12.22 ,$16.82 ,2/28/2019,GlaxoSmithKline,200-2018-00009,7/2/2018
Influenza [5],Flucelvax Quadrivalent,70461-0318-03,10 pack – 1 dose syringe,$12.13 ,$21.22 ,2/28/2019,"Seqirus USA, Inc",200-2018-00011,7/2/2018
Influenza [5],Afluria®,33332-0318-01,10 pack – 1 dose syringe,$12.13 ,$17.97 ,2/28/2019,"Seqirus USA, Inc",200-2018-00011,7/2/2018
Influenza [5],Fluzone®,49281-0629-15,10 dose vial,$12.57 ,$16.62 ,2/28/2019,Sanofi Pasteur,200-2018-00010,11/1/2018
Influenza [5],Fluzone®,49281-0418-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2019,Sanofi Pasteur,200-2018-00010,11/1/2018
Influenza [5],Fluarix®,58160-0898-52,10 pack- 1 dose syringe,$12.22 ,$16.82 ,2/28/2019,GlaxoSmithKline,200-2018-00009,11/1/2018
Influenza [5],FluLaval,19515-0909-52,10 pack- 1 dose syringe,$12.22 ,$16.82 ,2/28/2019,GlaxoSmithKline,200-2018-00009,11/1/2018
Influenza [5],Flucelvax Quadrivalent,70461-0318-03,10 pack – 1 dose syringe,$12.13 ,$21.22 ,2/28/2019,"Seqirus USA, Inc",200-2018-00011,11/1/2018
Influenza [5],Afluria®,33332-0318-01,10 pack – 1 dose syringe,$12.13 ,$17.97 ,2/28/2019,"Seqirus USA, Inc",200-2018-00011,11/1/2018
Influenza [5],Fluzone,49281-0629-15,10 dose vial,$12.57 ,$16.62 ,2/28/2019,Sanofi Pasteur,200-2018-00010,1/2/2019
Influenza [5],Fluzone,49281-0418-10,10 pack – 1 dose vial,$13.58 ,$17.97 ,2/28/2019,Sanofi Pasteur,200-2018-00010,1/2/2019
Influenza [5],Fluarix,58160-0898-52,10 pack- 1 dose syringe,$12.22 ,$16.82 ,2/28/2019,GlaxoSmithKline,200-2018-00009,1/2/2019
